method,policy,fold_id,condition,evidence_role,heldout_pair_f1,overall_pair_f1,seen_pair_f1,presence_f1,presence_ap,oracle_stage2_f1,aspect_threshold,runner_up_threshold,selected_review_aspects,two_sentiment_instances
e5_base_v2,label_masked_all_reviews,l2-a10,N,structural_invariance_not_independent_replication,0.0931899641577061,0.3188028627195836,0.3333333333333333,0.12274368231046931,0.0822061498107469,0.7222222222222222,0.871234253049,0.890274509788,2566,187
e5_base_v2,label_masked_all_reviews,l2-a11,D,structural_invariance_not_independent_replication,0.20388349514563106,0.327419717044689,0.3334118201083118,0.23529411764705882,0.20481946588084854,0.8737864077669902,0.871234253049,0.890274509788,2403,192
e5_base_v2,label_masked_all_reviews,l2-a11,N,structural_invariance_not_independent_replication,0.18110236220472442,0.32481670739835594,0.3334118201083118,0.2134387351778656,0.20695883817994176,0.6796116504854369,0.871234253049,0.890274509788,2452,191
e5_base_v2,label_masked_all_reviews,l2-a12,D,structural_invariance_not_independent_replication,0.2636103151862464,0.32733003151733453,0.33276325433667236,0.36470588235294116,0.33272703177519247,0.6996197718631179,0.871234253049,0.890546113253,2403,181
e5_base_v2,label_masked_all_reviews,l2-a12,N,structural_invariance_not_independent_replication,0.30994152046783624,0.3310033821871477,0.33276325433667236,0.38823529411764707,0.39416100818191396,0.8093385214007782,0.871234253049,0.890546113253,2403,174
frozen_qwen_candidate_pair,review_filtered,l2-a01,D,structural_invariance_not_independent_replication,0.5619047619047619,0.499431947284708,0.4963015986638034,0.6666666666666666,0.5153268672959153,0.8395061728395061,0.999999940395,0.99,2543,0
frozen_qwen_candidate_pair,review_filtered,l2-a01,N,structural_invariance_not_independent_replication,0.5759162303664922,0.49977179370150615,0.4963015986638034,0.6387434554973822,0.5037707578345116,0.8765432098765432,0.999999940395,0.99,2524,0
frozen_qwen_candidate_pair,review_filtered,l2-a02,D,structural_invariance_not_independent_replication,0.3118279569892473,0.499431947284708,0.5077105575326216,0.41935483870967744,0.2619698741765792,0.813953488372093,0.999999940395,0.99,2543,0
frozen_qwen_candidate_pair,review_filtered,l2-a02,N,structural_invariance_not_independent_replication,0.0,0.497443049744305,0.5077105575326216,0.0,0.24892285801965602,0.7906976744186046,0.999999940395,0.99,2444,0
frozen_qwen_candidate_pair,review_filtered,l2-a03,D,structural_invariance_not_independent_replication,0.5290697674418605,0.499431947284708,0.4903532205402196,0.562015503875969,0.44967440813594434,0.8977556109725686,0.999999940395,0.99,2543,0
frozen_qwen_candidate_pair,review_filtered,l2-a03,N,structural_invariance_not_independent_replication,0.3973941368078176,0.47602309816721067,0.4903532205402196,0.40716612377850164,0.5102819101984671,0.8902743142144638,0.999999940395,0.99,2125,0
frozen_qwen_candidate_pair,review_filtered,l2-a04,D,structural_invariance_not_independent_replication,0.125,0.499431947284708,0.5195116112042135,0.15178571428571427,0.08076417738783469,0.8181818181818182,0.999999940395,0.99,2543,0
frozen_qwen_candidate_pair,review_filtered,l2-a04,N,structural_invariance_not_independent_replication,0.09090909090909091,0.5150438284766643,0.5195116112042135,0.09090909090909091,0.09268217490590448,0.7727272727272727,0.999999940395,0.99,2363,0
frozen_qwen_candidate_pair,review_filtered,l2-a05,D,structural_invariance_not_independent_replication,0.6844106463878327,0.499431947284708,0.4876752054132431,0.714828897338403,0.5744770193222606,0.8983050847457628,0.999999940395,0.99,2543,0
frozen_qwen_candidate_pair,review_filtered,l2-a05,N,structural_invariance_not_independent_replication,0.6666666666666666,0.4962025316455696,0.4876752054132431,0.7053140096618358,0.7114428208857713,0.8813559322033898,0.999999940395,0.99,2487,0
frozen_qwen_candidate_pair,review_filtered,l2-a06,D,structural_invariance_not_independent_replication,0.4150453955901427,0.499431947284708,0.5173553719008265,0.4540682414698163,0.5525181009314329,0.7894179894179895,0.999999940395,0.99,2543,0
frozen_qwen_candidate_pair,review_filtered,l2-a06,N,structural_invariance_not_independent_replication,0.29252782193958665,0.4841512092040385,0.5173553719008265,0.3064516129032258,0.48347491623496086,0.8084656084656084,0.999999940395,0.99,2401,0
frozen_qwen_candidate_pair,review_filtered,l2-a07,D,structural_invariance_not_independent_replication,0.616600790513834,0.499431947284708,0.47501372872048325,0.6393659180977543,0.5310963453695433,0.8988095238095238,0.999999940395,0.99,2543,0
frozen_qwen_candidate_pair,review_filtered,l2-a07,N,structural_invariance_not_independent_replication,0.6357039187227866,0.5005772338951743,0.47501372872048325,0.6521106259097526,0.5787631672731153,0.8958333333333334,0.999999940395,0.99,2473,0
frozen_qwen_candidate_pair,review_filtered,l2-a08,D,structural_invariance_not_independent_replication,0.6377952755905512,0.499431947284708,0.4909573185435254,0.6798418972332015,0.5899697301141433,0.900398406374502,0.999999940395,0.99,2543,0
