method_id,evidence_role,fold_id,condition,score_sha256,heldout_pair_micro_f1,overall_pair_micro_f1,seen_pair_micro_f1,heldout_pair_precision,heldout_pair_recall,heldout_presence_f1,heldout_presence_ap,oracle_gated_sentiment_set_micro_f1,maximum_sentiments_per_selected_aspect,aspect_call_rate,selected_aspect_instances,test_contract_count
qwen_candidate_pair_qlora_relative_calibrator_v1,all_validation_fitted_diagnostic,l2-a07,D,5b12ccad334558e937718a53f64facc2821c22c46d52ac57eb99734b4cfb69d4,0.6130500758725341,0.5942102590147282,0.5904239097285758,0.6273291925465838,0.599406528189911,0.6341463414634146,0.6465751435406858,0.9228486646884273,2,0.16351308735414696,2074,0
qwen_candidate_pair_qlora_relative_calibrator_v1,all_validation_fitted_diagnostic,l2-a07,N,a2032b9025c2b615147730aaac855bea51e4230f655499d9d1401ee102eaabcf,0.5788617886178862,0.5888065422949144,0.5906610066707095,0.6402877697841727,0.5281899109792285,0.5905383360522023,0.6499329916066721,0.9226190476190477,2,0.16162093976663514,2050,0
frozen_qwen_few_shot_stage1__qlora_stage2,fixed_primary_stage_hybrid,l2-a08,D,6202c8b04c014612b09c36419c1ca6fdf8c9f2e9852b31f3498b14ca31d08b53,0.6347826086956522,0.6001481847369721,0.5980623199790521,0.7019230769230769,0.5793650793650794,0.6724890829694323,0.6683225293010276,0.9322709163346613,2,0.17210659098076317,2183,0
qlora_stage1__frozen_qwen_few_shot_stage2,fixed_reverse_control,l2-a08,D,15cfcc7e6d7930e55edba65f248f86d38f82b0ef3c721dbbc4e3867ada0854b2,0.7016129032258065,0.5652173913043478,0.5564222568902756,0.7131147540983607,0.6904761904761905,0.710204081632653,0.7947248382027414,0.873015873015873,2,0.17344686218858404,2200,0
frozen_qwen_few_shot_stage1__qlora_stage2,fixed_primary_stage_hybrid,l2-a08,N,fd830f81ca1acfdd17bb3e2ac9208c7d90144904bf27f55776fd2f3dabaf4a8c,0.5876288659793815,0.5975579367057064,0.5980623199790521,0.8382352941176471,0.4523809523809524,0.6217616580310881,0.7432858706396678,0.9047619047619048,2,0.16926836959949543,2147,0
qlora_stage1__frozen_qwen_few_shot_stage2,fixed_reverse_control,l2-a08,N,3a29c87f2db58581a022a185ee846565c643451d9fffc283c247397ee03e7c17,0.6886792452830188,0.5633316904879251,0.5564222568902756,0.8488372093023255,0.5793650793650794,0.7014218009478673,0.8086111460410577,0.8412698412698413,2,0.1707663197729423,2166,0
qwen_candidate_pair_qlora_relative_calibrator_v1,review_cross_fitted_primary,l2-a08,D,e5c928a1d438ecb0f74e53ea4a6fd6b54b0aa1dbda136be11c8ef19111650b10,0.6919831223628692,0.5975062344139651,0.5915716936125099,0.7387387387387387,0.6507936507936508,0.7033898305084746,0.786709456589368,0.9322709163346613,2,0.16918953011668245,2146,0
qwen_candidate_pair_qlora_relative_calibrator_v1,review_cross_fitted_primary,l2-a08,N,41b25ee22ecbfbbe75dc44dbe609cd810bbeb6772405932b5e0f451d637983b3,0.6461538461538462,0.5939698492462312,0.5912813738441215,0.9130434782608695,0.5,0.6597938144329897,0.8120565922775792,0.9047619047619048,2,0.16682434563229265,2116,0
qwen_candidate_pair_qlora_relative_calibrator_v1,all_validation_fitted_diagnostic,l2-a08,D,d8735b5424eb09870f14f50277981f21b8780564ec3fe72a7653e4d99bf2cb18,0.6890756302521008,0.6010821446138711,0.5956112852664577,0.7321428571428571,0.6507936507936508,0.70042194092827,0.7854345467669289,0.9322709163346613,2,0.17360454115421003,2202,0
qwen_candidate_pair_qlora_relative_calibrator_v1,all_validation_fitted_diagnostic,l2-a08,N,b6d79de5f512fe2dd2f7cb559592f620f08ea0040def5234bf4c0d82f37ae116,0.6428571428571429,0.5968301139177811,0.5944820406038521,0.9,0.5,0.6564102564102564,0.810191207259222,0.9047619047619048,2,0.17139703563544623,2174,0
